BCBS_Name,Acronym
Anthem BCBS of Ohio,KFQ
Blue Cross of California,KFR
Anthem BCBS of Virginia,KFS
Blue Cross Blue Shield of Illinois,KFT
Anthem BCBS of New Hampshire,KFU
Anthem BCBS of Indiana,KFV
Anthem BCBS of Virginia,KFW
CareFirst BCBS,KFX
Premera Blue Cross,KFY
Blue Cross Blue Shield of Minnesota,KFZ
BCBS of Florida,KGA
Unassigned,KGB
BCBS of Florida,KGC
Blue Cross of California,KGD
Independence Blue Cross,KGE
Blue Cross of California,KGF
Anthem BCBS of Ohio,KGG
Blue Cross Blue Shield of Louisiana,KGH
CareFirst BCBS,KGI
Blue Cross Blue Shield of South Carolina,KGJ
Anthem BCBS of Ohio,KGK
Anthem BCBS of Nevada,KGL
Blue Cross Blue Shield of Arizona,KGM
Blue Cross Blue Shield of Texas,KGN
Blue Shield of California,KGO
CareFirst BCBS,KGP
CareFirst BCBS,KGQ
Anthem BCBS of Ohio,KGR
Blue Cross Blue Shield of Kansas,KGS
Anthem BCBS of Ohio,KGT
Blue Cross Blue Shield of Illinois,KGU
Anthem BCBS of Ohio,KGV
Anthem Blue Cross of California,KGW
Anthem BCBS of Virginia,KGX
Wellmark BCBS,KGY
Anthem BCBS of Ohio,KGZ
Blue Cross Blue Shield of Illinois,KHA
Blue Cross Blue Shield of Alabama,KHB
Highmark BCBS of Pennsylvania,KHC
Wellmark BCBS,KHD
Anthem BCBS of Wisconsin,KHE
Unassigned,KHF
Blue Shield of California,KHG
Blue Cross Blue Shield of Alabama,KHH
Blue Cross of California,KHI
Empire Blue Cross Blue Shield,KHJ
Blue Cross of California,KHK
Anthem BCBS of Wisconsin,KHL
Independence Blue Cross,KHM
Anthem BCBS of Wisconsin,KHN
Blue Cross of Idaho,KHO
Anthem BCBS of Ohio,KHP
CareFirst BCBS,KHQ
Capital Blue Cross,KHR
Premera Blue Cross,KHS
Blue Cross Blue Shield of Minnesota,KHT
Wellmark BCBS,KHU
CareFirst BCBS,KHV
Blue Cross of California,KHW
Anthem BCBS of Wisconsin,KHX
Anthem BCBS of Wisconsin,KHY
Wellmark BCBS,KHZ
Anthem BCBS of Georgia,KIA
Anthem BCBS of Georgia,KIB
Wellmark BCBS,KIC
Blue Cross Blue Shield of Alabama,KID
Anthem BCBS of Georgia,KIE
Blue Cross Blue Shield of Alabama,KIF
Empire Blue Cross Blue Shield,KIG
Empire Blue Cross Blue Shield,KIH
Blue Shield of California,KII
Blue Cross Blue Shield of Alabama,KIJ
Blue Cross Blue Shield of Illinois,KIK
Unassigned,KIL
BCBS of Western New York,KIM
Regence Blue Cross Blue Shield of Oregon,KIN
Empire Blue Cross Blue Shield,KIO
Unassigned,KIP
Unassigned,KIQ
Regence Blue Shield of Washington,KIR
Capital Blue Cross,KIS
Blue Cross Blue Shield of Illinois,KIT
Blue Cross Blue Shield of Alabama,KIU
Anthem BCBS of Virginia,KIV
Anthem BCBS of Virginia,KIW
Anthem BCBS of Virginia,KIX
BCBS of Western New York,KIY
Blue Cross of California,KIZ
Anthem BCBS of Georgia,KJA
CareFirst BCBS,KJB
Blue Cross of California,KJC
Blue Cross Blue Shield of Alabama,KJD
Blue Cross of California,KJE
Blue Cross Blue Shield of Illinois,KJF
Blue Cross Blue Shield of Illinois,KJG
Blue Cross Blue Shield of Illinois,KJH
Blue Cross Blue Shield of Missouri,KJI
CareFirst BCBS,KJJ
Blue Shield of California,KJK
Blue Shield of California,KJL
Blue Cross Blue Shield of Illinois,KJM
Blue Cross Blue Shield of Missouri,KJN
Anthem BCBS of Ohio,KJO
Horizon Blue Cross Blue Shield of New Jersey,KJP
Anthem BCBS of Missouri,KJQ
Highmark BCBS of Pennsylvania,KJR
Unassigned,KJS
Wellmark BCBS,KJT
Anthem BCBS of Missouri,KJU
Empire Blue Cross Blue Shield,KJV
Blue Cross Blue Shield of Illinois,KJW
BCBS of Western New York,KJX
Highmark BCBS of Pennsylvania,KJY
Unassigned,KJZ
Blue Cross Blue Shield of Alabama,KKA
Anthem BCBS of Ohio,KKB
Blue Cross Blue Shield of Michigan,KKC
Blue Cross of California,KKD
Blue Cross Blue Shield of Oklahoma,KKE
Blue Cross of California,KKF
Blue Cross Blue Shield of Illinois,KKG
Blue Cross Blue Shield of Illinois,KKH
Blue Cross of California,KKI
Blue Cross Blue Shield of Texas,KKJ
Unassigned,KKK
Wellmark BCBS,KKL
Blue Cross of California,KKM
Horizon Blue Cross Blue Shield of New Jersey,KKN
Blue Cross Blue Shield of Michigan,KKO
Blue Cross Blue Shield of Illinois,KKP
Blue Cross Blue Shield of Arkansas,KKQ
Blue Cross Blue Shield of Michigan,KKR
Wellmark BCBS,KKS
Anthem BCBS of Kentucky,KKT
Blue Cross Blue Shield of Minnesota,KKU
Anthem BCBS of Kentucky,KKV
Blue Cross of California,KKW
Blue Cross Blue Shield of Nebraska,KKX
Premera Blue Cross,KKY
Blue Cross Blue Shield of Illinois,KKZ
Blue Cross Blue Shield of Nebraska,KLA
Anthem BCBS of Ohio,KLB
Premera Blue Cross,KLC
CareFirst BCBS,KLD
Anthem BCBS of Ohio,KLE
CareFirst BCBS,KLF
Blue Cross Blue Shield of Michigan,KLG
Blue Cross Blue Shield of Nebraska,KLH
Anthem BCBS of Georgia,KLI
Premera Blue Cross,KLJ
Anthem BCBS of Virginia,KLK
Empire Blue Cross Blue Shield,KLL
Blue Cross Blue Shield of Michigan,KLM
Blue Cross Blue Shield of Michigan,KLN
Empire Blue Cross Blue Shield,KLO
Blue Cross Blue Shield of Michigan,KLP
Blue Cross of California,KLQ
Anthem BCBS of Virginia,KLR
Blue Cross Blue Shield of Minnesota,KLS
Blue Cross Blue Shield of Illinois,KLT
CareFirst BCBS,KLU
BCBS of Western New York,KLV
Blue Cross of California,KLW
Horizon Blue Cross Blue Shield of New Jersey,KLX
Blue Cross of California,KLY
Premera Blue Cross,KLZ
Blue Shield of California,KMA
Anthem BCBS of Wisconsin,KMB
Wellmark BCBS,KMC
Highmark BCBS of Pennsylvania,KMD
Wellmark BCBS,KME
BCBS of Florida,KMF
Blue Shield of Northeastern New York,KMG
BCBS of Florida,KMH
Blue Shield of California,KMI
Empire Blue Cross Blue Shield,KMJ
Blue Cross Blue Shield of Illinois,KMK
Blue Cross of California,KML
Highmark BCBS of Pennsylvania,KMM
Highmark BCBS of Pennsylvania,KMN
Blue Shield of California,KMO
Blue Cross Blue Shield of Nebraska,KMP
Blue Cross of Idaho,KMQ
Wellmark BCBS,KMR
Blue Cross Blue Shield of South Carolina,KMS
Blue Cross Blue Shield of Michigan,KMT
Blue Cross Blue Shield of Michigan,KMU
Anthem BCBS of Maine,KMV
Blue Cross of California,KMW
Anthem BCBS of Maine,KMX
Empire Blue Cross Blue Shield,KMY
Anthem BCBS of Ohio,KMZ
Anthem BCBS of Ohio,KNA
Highmark BCBS of Pennsylvania,KNB
Anthem BCBS of Ohio,KNC
Anthem BCBS of Ohio,KND
Blue Cross Blue Shield of Illinois,KNE
Independence Blue Cross,KNF
Wellmark BCBS,KNG
BCBS of Illinois,KNH
Anthem BCBS of Missouri,KNI
Blue Shield of California,KNJ
Anthem BCBS of Georgia,KNK
Anthem BCBS of Georgia,KNL
Unassigned,KNM
Empire Blue Cross Blue Shield,KNN
Anthem BCBS of Wisconsin,KNO
Blue Cross Blue Shield of Texas,KNP
Blue Cross of California,KNQ
Blue Cross of California,KNR
Blue Cross Blue Shield of Illinois,KNS
Independence Blue Cross,KNT
Anthem BCBS of Ohio,KNU
CareFirst BCBS,KNV
Wellmark BCBS,KNW
Blue Cross Blue Shield of Tennessee,KNX
BCBS of Western New York,KNY
Blue Cross Blue Shield of North Carolina,KNZ
BCBS of Western New York,KOA
Blue Shield of California,KOB
Blue Cross Blue Shield of Massachusetts,KOC
BCBS of Western New York,KOD
Anthem BCBS of Georgia,KOE
Wellmark BCBS,KOF
Blue Shield of California,KOG
Unassigned,KOH
Independence Blue Cross,KOI
Blue Cross Blue Shield of Michigan,KOJ
Blue Shield of California,KOK
Anthem BCBS of Ohio,KOL
Blue Cross Blue Shield of Illinois,KOM
Blue Cross Blue Shield of Illinois,KON
Blue Cross of Idaho,KOO
Anthem BCBS of Wisconsin,KOP
Anthem BCBS of Ohio,KOQ
