BCBS_Name,Acronym
Blue Cross Blue Shield of Massachusetts,REV
Blue Shield of California,REW
Blue Cross Blue Shield of Texas,REX
BCBS of Texas,REY
Blue Shield of California,REZ
Blue Cross Blue Shield of Kansas City,RFA
Empire Blue Cross Blue Shield,RFB
Blue Cross Blue Shield of South Carolina,RFC
Blue Cross Blue Shield of Minnesota,RFD
Anthem BCBS of Georgia,RFE
Blue Cross Blue Shield of Minnesota,RFF
Blue Cross of California,RFG
Blue Cross Blue Shield of Illinois,RFH
Blue Shield of California,RFI
Anthem BCBS of Wisconsin,RFJ
Blue Cross Blue Shield of Illinois,RFK
Anthem BCBS of Wisconsin,RFL
Anthem BCBS of Georgia,RFM
Blue Cross of California,RFN
Blue Cross Blue Shield of Kansas City,RFO
Anthem BCBS of Wisconsin,RFP
Anthem BCBS of Virginia,RFQ
Independence Blue Cross,RFR
Blue Shield of California,RFS
Blue Shield of California,RFT
Blue Cross of California,RFU
BCBS of Michigan,RFV
Horizon Blue Cross Blue Shield of New Jersey,RFW
Blue Cross of Idaho,RFX
Blue Cross Blue Shield of Michigan,RFY
Blue Cross of California,RFZ
Blue Cross of California,RGA
Blue Cross Blue Shield of Illinois,RGB
Blue Cross Blue Shield of Texas,RGC
Wellmark BCBS,RGD
Wellmark BCBS,RGE
Blue Cross Blue Shield of North Carolina,RGF
Blue Cross Blue Shield of Tennessee,RGG
Blue Cross Blue Shield of Texas,RGH
Blue Cross Blue Shield of Michigan,RGI
Premera Blue Cross,RGJ
Blue Cross Blue Shield of Kansas City,RGK
Blue Cross Blue Shield of Illinois,RGL
Blue Cross of California,RGM
Blue Cross Blue Shield of Alabama,RGN
Regence Blue Cross Blue Shield of Oregon,RGO
Blue Cross of California,RGP
Anthem BCBS of Virginia,RGQ
Blue Cross Blue Shield of Illinois,RGR
Blue Cross of Idaho,RGS
Blue Cross Blue Shield of Alabama,RGT
Blue Cross of California,RGU
Blue Cross Blue Shield of North Carolina,RGV
Horizon Blue Cross Blue Shield of New Jersey,RGW
Anthem BCBS of Virginia,RGX
Independence Blue Cross,RGY
Anthem BCBS of Wisconsin,RGZ
Blue Shield of California,RHA
Blue Cross of California,RHB
Blue Cross Blue Shield of Massachusetts,RHC
Blue Cross of California,RHD
Anthem BCBS of Missouri,RHE
Anthem BCBS of Kentucky,RHF
Blue Cross Blue Shield of Kansas City,RHG
Blue Cross Blue Shield of Texas,RHH
Blue Cross of Idaho,RHI
Blue Cross Blue Shield of South Carolina,RHJ
Blue Cross Blue Shield of Nebraska,RHK
Premera Blue Cross,RHL
Highmark BCBS of Pennsylvania,RHM
Highmark BCBS of Pennsylvania,RHN
Anthem BCBS of Missouri,RHO
Blue Cross of California,RHP
Regence Blue Cross Blue Shield of Oregon,RHQ
Anthem BCBS of Kentucky,RHR
Anthem BCBS of Georgia,RHS
Anthem BCBS of Georgia,RHT
Anthem BCBS of Virginia,RHU
Highmark BCBS of Pennsylvania,RHV
Blue Cross Blue Shield of Texas,RHW
Anthem BCBS of Wisconsin,RHX
Blue Cross Blue Shield of Illinois,RHY
Blue Cross Blue Shield of Nebraska,RHZ
Blue Cross Blue Shield of Rhode Island,RIA
Blue Cross Blue Shield of Rhode Island,RIB
Anthem BCBS of Virginia,RIC
Independence Blue Cross,RID
Blue Cross Blue Shield of Massachusetts,RIE
Highmark BCBS of Pennsylvania,RIF
Blue Cross Blue Shield of Michigan,RIG
Highmark BCBS of Pennsylvania,RIH
Regence Blue Cross Blue Shield of Utah,RII
Blue Shield of California,RIJ
Wellmark BCBS,RIK
Blue Cross Blue Shield of South Carolina,RIL
Regence Blue Shield of Washington,RIM
Blue Cross Blue Shield of Rhode Island,RIN
Unassigned,RIO
Independence Blue Cross,RIP
Blue Cross Blue Shield of Michigan,RIQ
Highmark BCBS of Pennsylvania,RIR
Blue Cross Blue Shield of Rhode Island,RIS
Independence Blue Cross,RIT
Anthem BCBS of Kentucky,RIU
Independence Blue Cross,RIV
Unassigned,RIW
Blue Shield of California,RIX
BCBS of Florida,RIY
