BCBS_Name,Acronym
BCBS of Michigan,NHT
Capital Blue Cross,NHU
Horizon BCBS of New Jersey,NHV
BCBS of Kansas City,NHW
Horizon BCBS of New Jersey,NHX
BCBS of Arizona,NHY
Unassigned Prefix,NHZ
Anthem BCBS of Wisconsin,NIA
Unassigned Prefix,NIB
Anthem Blue Cross of California,NIC
Regence BCBS,NID
Anthem BCBS of California,NIE
Unassigned Prefix,NIF
Unassigned Prefix,NIG
BCBS of Massachusetts,NIH
Horizon BCBS of New Jersey,NII
Anthem BCBS of Ohio,NIJ
Unassigned Prefix,NIK
Anthem Blue Cross of California,NIL
Wellmark BCBS,NIM
BCBS of Nebraska,NIN
Wellmark BCBS,NIO
Blue Shield of California,NIP
Anthem BCBS of Ohio,NIQ
Independence Blue Cross,NIR
Unassigned Prefix,NIS
BCBS of Georgia,NIT
BCBS of Florida,NIU
Anthem Blue Cross of California,NIV
Empire BCBS of New York,NIW
Empire BCBS of New York,NIX
BCBS of Kansas City,NIY
Blue Shield of California,NIZ
Anthem BCBS of Georgia,NJA
Highmark BCBS,NJB
Anthem BCBS of Ohio,NJC
Horizon BCBS of New Jersey,NJD
Horizon BCBS of New Jersey,NJE
BCBS of Illinois,NJF
BCBS of Texas,NJG
Horizon BCBS of New Jersey,NJH
Horizon BCBS of New Jersey,NJI
Horizon BCBS of New Jersey,NJJ
Anthem BCBS of Ohio,NJK
BCBS of Michigan,NJL
Anthem Blue Cross of California,NJM
Horizon BCBS of New Jersey,NJN
Horizon BCBS of New Jersey,NJO
Horizon BCBS of New Jersey,NJP
BCBS of South Carolina,NJQ
Horizon BCBS of New Jersey,NJR
Horizon BCBS of New Jersey,NJS
Horizon BCBS of New Jersey,NJT
BCBS of Illinois,NJU
BCBS of Michigan,NJV
Unassigned Prefix,NJW
Horizon BCBS of New Jersey,NJX
BCBS of Alabama,NJY
Wellmark BCBS,NJZ
BCBS of Minnesota,NKA
Anthem Blue Cross of California,NKB
Unassigned Prefix,NKC
Unassigned Prefix,NKD
Anthem BCBS of Ohio,NKE
BCBS of Alabama,NKF
Horizon BCBS of New Jersey,NKG
Horizon BCBS of New Jersey,NKH
Anthem BCBS of Ohio,NKI
BCBS of Michigan,NKJ
BCBS of Michigan,NKK
BCBS of Illinois,NKL
BCBS of Tennessee,NKM
Anthem Blue Cross of California,NKN
Horizon BCBS of New Jersey,NKO
Carefirst BCBS of Maryland,NKP
BCBS of Michigan,NKQ
Anthem BCBS of Indiana,NKR
BCBS of Michigan,NKS
BCBS of Illinois,NKT
Carefirst BCBS of Maryland,NKU
BCBS of Massachusetts,NKV
Anthem BCBS of Ohio,NKW
BCBS of Tennessee,NKX
BCBS of Michigan,NKY
Unassigned Prefix,NKZ
BCBS of Michigan,NLA
BCBS of Illinois,NLB
BCBS of Kansas City,NLC
Horizon BCBS of New Jersey,NLD
