BCBS_Name,Acronym
Highmark BCBS of Pennsylvania,IGN
BCBS of Western New York,IGO
Wellmark BCBS,IGP
Highmark BCBS of Pennsylvania,IGQ
Empire Blue Cross Blue Shield,IGR
Blue Cross Blue Shield of Alabama,IGS
Blue Shield of California,IGT
Blue Cross Blue Shield of Louisiana,IGU
Highmark BCBS of Pennsylvania,IGV
CareFirst BCBS,IGW
CareFirst BCBS,IGX
CareFirst BCBS,IGY
Highmark BCBS of Pennsylvania,IGZ
Blue Shield of California,IHA
Wellmark BCBS,IHB
CareFirst BCBS,IHC
Blue Cross Blue Shield of Nebraska,IHD
Anthem BCBS of Ohio,IHE
Empire Blue Cross Blue Shield,IHF
Anthem BCBS of Georgia,IHG
Blue Cross Blue Shield of Alabama,IHH
Highmark BCBS of Pennsylvania,IHI
Empire Blue Cross Blue Shield,IHJ
Highmark BCBS of Pennsylvania,IHK
Highmark BCBS of Pennsylvania,IHL
Highmark BCBS of Pennsylvania,IHM
Blue Shield of California,IHN
Blue Cross Blue Shield of South Carolina,IHO
CareFirst BCBS,IHP
Blue Cross Blue Shield of South Carolina,IHQ
Blue Shield of California,IHR
Blue Cross Blue Shield of Massachusetts,IHS
Blue Cross Blue Shield of Alabama,IHT
Unassigned,IHU
Anthem BCBS of Georgia,IHV
Blue Shield of California,IHW
Anthem BCBS of Colorado,IHX
Anthem BCBS of Georgia,IHY
Blue Cross of California,IHZ
Blue Shield of California,IIA
Blue Cross Blue Shield of Michigan,IIB
Horizon BCBS of New Jersey,IIC
Blue Cross of Idaho,IID
Highmark BCBS of Pennsylvania,IIE
Anthem BCBS of Georgia,IIF
Highmark BCBS of Pennsylvania,IIG
Regence BCBS,IIH
Blue Cross Blue Shield of Tennessee Commercial,III
Highmark BCBS of Pennsylvania,IIJ
Highmark BCBS of Pennsylvania,IIK
Highmark BCBS of Pennsylvania,IIL
Highmark BCBS of Pennsylvania,IIM
Blue Cross Blue Shield of Massachusetts,IIN
Unassigned,IIO
BCBS of Western New York,IIP
Blue Cross Blue Shield of South Carolina,IIQ
Blue Cross Blue Shield of South Carolina,IIR
Blue Cross Blue Shield of Michigan,IIS
Blue Cross Blue Shield of Illinois,IIT
Independence Blue Cross FOC,IIU
Blue Cross Blue Shield of South Carolina,IIV
Blue Shield of California,IIW
Blue Cross of Idaho,IIX
Blue Cross Blue Shield of South Carolina,IIY
Blue Cross Blue Shield of South Carolina,IIZ
Anthem BCBS of Wisconsin,IJA
Anthem BCBS of Ohio,IJB
Blue Cross Blue Shield of South Carolina,IJC
Anthem BCBS of New Hampshire,IJD
BCBS of Western New York,IJE
Anthem BCBS of Georgia,IJF
Anthem BCBS of Georgia,IJG
Anthem BCBS of Georgia,IJH
Anthem BCBS of Georgia,IJI
Anthem BCBS of Georgia,IJJ
Anthem BCBS of Georgia,IJK
Anthem BCBS of Georgia,IJL
Blue Cross Blue Shield of South Carolina,IJM
Blue Cross Blue Shield of South Carolina,IJN
Blue Cross Blue Shield of South Carolina,IJO
Blue Cross Blue Shield of South Carolina,IJP
Anthem BCBS of Georgia,IJQ
Blue Cross of Idaho,IJR
Anthem BCBS of Wisconsin,IJS
Anthem BCBS of Georgia,IJT
Blue Cross Blue Shield of Texas,IJU
Anthem BCBS of Georgia,IJV
Horizon BCBS of New Jersey,IJW
Anthem BCBS of Georgia,IJX
Capital Blue Cross,IJY
Blue Cross Blue Shield of South Carolina,IJZ
Anthem BCBS of Kentucky,IKA
Anthem BCBS of Virginia,IKB
Anthem BCBS of Virginia,IKC
Wellmark BCBS,IKD
Independence Blue Cross FOC,IKE
Independence Blue Cross FOC,IKF
Anthem BCBS of Georgia,IKG
Wellmark BCBS,IKH
Blue Cross Blue Shield of South Carolina,IKI
Blue Cross Blue Shield of South Carolina,IKJ
Blue Cross Blue Shield of Michigan,IKK
Anthem BCBS of Virginia,IKL
Independence Blue Cross FOC,IKM
Unassigned,IKN
Highmark BCBS of Pennsylvania,IKO
Unassigned,IKP
Wellmark BCBS,IKQ
Anthem BCBS of Missouri,IKR
Blue Shield of California,IKS
Anthem BCBS of Kentucky,IKT
Anthem BCBS of Georgia,IKU
Blue Cross Blue Shield of Michigan,IKV
Anthem BCBS of Georgia,IKW
Blue Cross Blue Shield of Michigan,IKX
Blue Cross Blue Shield of South Carolina,IKY
Unassigned,IKZ
Empire Blue Cross Blue Shield,ILA
Blue Cross Blue Shield of Massachusetts,ILB
Wellmark BCBS,ILC
Blue Cross Blue Shield of Michigan,ILD
Wellmark BCBS,ILE
Blue Cross Blue Shield of Alabama,ILF
Blue Shield of California,ILG
Blue Cross of California,ILH
Blue Shield of California,ILI
Anthem BCBS of Wisconsin,ILJ
Regence Group Administrators - Washington,ILK
Blue Cross of California,ILL
Blue Cross of California,ILM
Blue Cross Blue Shield of Tennessee Commercial,ILN
Anthem BCBS of Wisconsin,ILO
Blue Cross Blue Shield of South Carolina,ILP
Blue Cross of California,ILQ
Unassigned,ILR
Premera Blue Cross,ILS
Blue Cross Blue Shield of Illinois,ILT
Blue Cross of California,ILU
BCBS of Alabama,ILV
Blue Shield of California,ILW
BCBS of Alabama,ILX
Blue Cross of California,ILY
Blue Cross Blue Shield of Michigan,ILZ
Excellus BCBS,IMA
Blue Cross Blue Shield of Massachusetts,IMB
Premera Blue Cross,IMC
Unassigned,IMD
Highmark BCBS of Pennsylvania,IME
Unassigned,IMF
Blue Cross of California,IMG
Anthem BCBS of Colorado,IMH
