BCBS_Name,Acronym
Blue Cross Blue Shield of South Carolina,OHA
Anthem BCBS of Ohio,OHB
Blue Cross Blue Shield of Michigan,OHC
Blue Cross Blue Shield of Texas,OHD
Blue Cross Blue Shield of Rhode Island,OHE
Anthem BCBS of Virginia,OHF
Anthem BCBS of Virginia,OHG
Anthem BCBS of Ohio,OHH
Blue Cross Blue Shield of South Carolina,OHI
Anthem BCBS of Kentucky,OHJ
Wellmark BCBS,OHK
Highmark BCBS of Pennsylvania,OHL
Blue Shield of Northeastern New York,OHM
Wellmark BCBS,OHN
Anthem BCBS of Ohio,OHO
Anthem BCBS of Ohio,OHP
Unassigned,OHQ
Anthem BCBS of Colorado,OHR
Anthem BCBS of Ohio,OHS
Anthem BCBS of Ohio,OHT
Wellmark BCBS,OHU
Blue Cross Blue Shield of Rhode Island,OHV
Wellmark BCBS,OHW
Blue Cross Blue Shield of Rhode Island,OHX
Blue Cross Blue Shield of Michigan,OHY
Blue Cross Blue Shield of Rhode Island,OHZ
Blue Cross of Idaho,OIA
Highmark BCBS of Pennsylvania,OIB
Independence Blue Cross,OIC
Blue Cross of Idaho,OID
Unassigned,OIE
Blue Cross of Idaho,OIF
Highmark BCBS of Pennsylvania,OIG
Blue Cross of Idaho,OIH
Blue Cross Blue Shield of Michigan,OII
Blue Cross Blue Shield of Michigan,OIJ
Blue Cross Blue Shield of Michigan,OIK
Highmark BCBS of Pennsylvania,OIL
Independence Blue Cross,OIM
Highmark BCBS of Pennsylvania,OIN
Blue Cross Blue Shield of Michigan,OIO
Blue Shield of California,OIP
Blue Cross Blue Shield of Michigan,OIQ
Highmark BCBS of Pennsylvania,OIR
BCBS of Western New York,OIS
Blue Cross Blue Shield of Michigan,OIT
Blue Cross Blue Shield of Michigan,OIU
Blue Cross Blue Shield of Michigan,OIV
Blue Cross Blue Shield of Michigan,OIW
Blue Cross Blue Shield of Michigan,OIX
Blue Cross Blue Shield of Michigan,OIY
Blue Cross of California,OIZ
CareFirst BCBS,OJA
CareFirst BCBS,OJB
Wellmark BCBS,OJC
Unassigned,OJD
Blue Cross Blue Shield of Michigan,OJE
Blue Cross Blue Shield of Michigan,OJF
Anthem BCBS of Wisconsin,OJG
Blue Cross Blue Shield of Georgia,OJH
