BCBS_Name,Acronym
Highmark BCBS,MCY
Anthem BCBS of Ohio,MCZ
BCBS of Michigan,MDA
BCBS of Alabama,MDB
BCBS of Minnesota,MDC
BCBS of Georgia,MDD
Anthem Blue Cross of California,MDE
Independence Blue Cross,MDF
BCBS of Michigan,MDG
BCBS of Rhose Island,MDH
Wellmark BCBS,MDI
Anthem BCBS of Indiana,MDJ
BCBS of Arizona,MDK
BCBS of Illinois,MDL
Carefirst BCBS of Maryland,MDM
Anthem BCBS of Wisconsin,MDN
Wellmark BCBS,MDO
Blue Shield of California,MDP
BCBS of Minnesota,MDQ
Anthem BCBS of Wisconsin,MDR
Carefirst BCBS of Maryland,MDS
Carefirst Administrators,MDT
Wellmark BCBS,MDU
BCBS of Illinois,MDV
Wellmark BCBS,MDW
BCBS of Alabama,MDX
BCBS of Kansas City,MDY
BCBS of Minnesota,MDZ
Blue Shield of California,MEA
Unassigned Prefix,MEB
Anthem BCBS of Virginia,MEC
Anthem BCBS of Ohio,MED
BCBS of Massachusetts,MEE
Carefirst BCBS of Maryland,MEF
Anthem BCBS of Georgia,MEG
Carefirst BCBS of Maryland,MEH
BCBS of Michigan,MEI
Carefirst BCBS of Maryland,MEJ
Blue Shield of California,MEK
Wellmark BCBS,MEL
Wellmark BCBS,MEM
Anthem BCBS of Maine,MEN
Blue Shield of California,MEO
Anthem BCBS of Maine,MEP
Blue Shield of California,MEQ
Anthem BCBS of Wisconsin,MER
BCBS of Illinois,MES
BCBS of Nebraska,MET
BCBS of Texas,MEU
Unassigned Prefix,MEV
Anthem BCBS of Maine,MEW
BCBS of New Mexico,MEX
Anthem BCBS of Maine,MEY
BCBS of New Mexico,MEZ
BCBS of Illinois,MFA
Wellmark BCBS,MFB
Carefirst BCBS of Maryland,MFC
Anthem BCBS of Georgia,MFD
Anthem Blue Cross of California,MFE
Regence BCBS of Oregon,MFF
Anthem BCBS of Ohio,MFG
Anthem BCBS of Georgia,MFH
Wellmark BCBS,MFI
BCBS of Wisconsin,MFJ
BCBS of Mississippi,MFK
Independence Blue Cross,MFL
Anthem BCBS of Georgia,MFM
Anthem BCBS of Virginia,MFN
Anthem BCBS of Wisconsin,MFO
Regence BCBS of Oregon,MFP
Anthem BCBS of Virginia,MFQ
Unassigned Prefix,MFR
Carefirst Administrators,MFS
Anthem Blue Cross of California,MFT
Wellmark BCBS,MFU
BCBS of Illinois,MFV
Anthem Blue Cross of California,MFW
BCBS of Michigan,MFX
BCBS of Minnesota,MFY
Independence Blue Cross,MGA
Capital Blue Cross,MGB
Unassigned Prefix,MGC
Premera Blue Cross,MGD
BCBS of Rhode Island,MGE
Anthem BCBS of Nevada,MGF
Independence Blue Cross,MGG
BCBS of Massachusetts,MGH
Highmark BCBS,MGI
Anthem BCBS of Missouri,MGJ
Wellmark BCBS,MGK
Independence Blue Cross,MGL
Carefirst BCBS of Maryland,MGM
Unassigned Prefix,MGN
BCBS of Michigan,MGO
Wellmark BCBS,MGP
BCBS of Minnesota,MGQ
BCBS of Michigan,MGR
BCBS of Georgia,MGS
Regence BCBS of Oregon,MGT
Anthem BCBS of Virginia,MGU
BCBS of South Carolina,MGV
BCBS of Arkansas,MGW
BCBS of Massachusetts,MGX
Blue Shield of California,MGY
Horizon BCBS of New Jersey,MGZ
BCBS of South Carolina,MHA
BCBS of Texas,MHB
Highmark BCBS,MHC
Empire BCBS of New York,MHD
Unassigned Prefix,MHE
Wellmark BCBS,MHF
Anthem Blue Cross of California,MHG
BCBS of Michigan,MHH
Anthem BCBS of Georgia,MHI
Unassigned Prefix,MHJ
Wellmark BCBS,MHK
BCBS of South Carolina,MHL
Carefirst BCBS of Maryland,MHM
Anthem BCBS of Ohio,MHN
Unassigned Prefix,MHO
Empire  BCBS,MHP
Anthem BCBS of Georgia,MHQ
Unassigned Prefix,MHR
BCBS of Nebraska,MHS
Carefirst BCBS of Maryland,MHT
Unassigned Prefix,MHU
Unassigned Prefix,MHV
BCBS of Alabama,MHW
BCBS of Georgia,MHX
Anthem Blue Cross of California,MHY
Wellmark BCBS,MHZ
Blue Shield of California,MIA
BCBS of Minnesota,MIB
BCBS of South Carolina,MIC
Unassigned Prefix,MID
