BCBS_Name,Acronym
Empire Blue Cross Blue Shield,GEK
Unassigned,GEL
CareFirst BCBS,GEM
BCBS of Alabama,GEN
Anthem Blue Cross of California,GEO
BCBS of Alabama,GEP
Blue Cross Blue Shield of Georgia,GEQ
Unassigned,GER
Anthem Blue Cross of California,GES
Wellmark BCBS,GET
Blue Cross Blue Shield of Illinois,GEU
Anthem BCBS of Virginia,GEV
Unassigned,GEW
BCBS of Alabama,GEX
Unassigned,GEY
Blue Cross Blue Shield of Minnesota,GEZ
Anthem BCBS of Georgia,GFA
Anthem Blue Cross of California,GFB
Blue Cross Blue Shield of South Carolina,GFC
Capital BlueCross,GFD
Anthem BCBS of Ohio,GFE
Anthem Blue Cross of California,GFF
Wellmark BCBS,GFG
Anthem BCBS of Nevada,GFH
CareFirst BCBS,GFI
Blue Cross Blue Shield of North Carolina,GFJ
Regence Blue Cross Blue Shield of Utah,GFK
Blue Cross Blue Shield of Illinois,GFL
Blue Cross Blue Shield of Georgia,GFM
Anthem Blue Cross of California,GFN
Unassigned,GFO
Blue Cross Blue Shield of Michigan,GFP
Anthem Blue Cross of California,GFQ
Anthem BCBS of Ohio,GFR
Empire Blue Cross Blue Shield,GFS
Wellmark BCBS,GFT
Premera Blue Cross,GFU
CareFirst BCBS,GFV
Blue Cross Blue Shield of Massachusetts,GFW
Blue Cross Blue Shield of Texas,GFX
Unassigned,GFY
Empire Blue Cross Blue Shield,GFZ
Highmark BCBS of Pennsylvania,GGA
Blue Shield of California,GGB
Blue Cross Blue Shield of Georgia,GGC
Blue Shield of California,GGD
Premera Blue Cross,GGE
Anthem BCBS of Georgia,GGF
Blue Cross Blue Shield of Georgia,GGG
Wellmark BCBS,GGH
Blue Cross Blue Shield of Arizona,GGI
Blue Cross Blue Shield of Illinois,GGJ
Wellmark BCBS,GGK
Anthem BCBS of Ohio,GGL
Highmark BCBS of Pennsylvania,GGM
Empire Blue Cross Blue Shield,GGN
Blue Cross Blue Shield of Michigan,GGO
Blue Cross Blue Shield of Minnesota,GGP
Anthem Blue Cross of California,GGQ
Capital BlueCross,GGR
Anthem Blue Cross of California,GGS
Highmark BCBS of Pennsylvania,GGT
Florida Blue,GGU
Blue Cross Blue Shield of Arkansas,GGV
Blue Cross Blue Shield of Georgia,GGW
Wellmark BCBS,GGX
Blue Shield of California,GGY
Blue Cross Blue Shield of Illinois,GGZ
Anthem BCBS of Wisconsin,GHA
Blue Cross Blue Shield of Michigan,GHB
Anthem BCBS of Ohio,GHC
Premera Blue Cross,GHD
Regence Blue Shield of Washington,GHE
Anthem BCBS of Ohio,GHF
Blue Cross Blue Shield of Texas,GHG
Unassigned,GHH
Anthem BCBS of Kentucky,GHI
Blue Cross Blue Shield of Minnesota,GHJ
Blue Cross Blue Shield of South Carolina,GHK
BCBS of Tennessee,GHL
Blue Cross Blue Shield of Texas,GHM
Blue Cross Blue Shield of Illinois,GHN
Independence Blue Cross,GHO
Blue Cross Blue Shield of Michigan,GHP
BCBS of Western New York,GHQ
Blue Cross Blue Shield of Massachusetts,GHR
Excellus BCBS,GHS
Unassigned,GHT
Blue Cross Blue Shield of Arizona,GHU
Blue Cross Blue Shield of Texas,GHV
Anthem BCBS of Georgia,GHW
Blue Cross Blue Shield of Illinois,GHX
Wellmark BCBS,GHY
CareFirst BCBS,GHZ
Blue Cross Blue Shield of Massachusetts,GIA
BCBS of Tennessee,GIB
Anthem Blue Cross of California,GIC
BCBS of Alabama,GID
Anthem Blue Cross of California,GIE
BCBS of Western New York,GIF
Blue Cross Blue Shield of Louisiana,GIG
Blue Cross Blue Shield of Michigan,GIH
Independence Blue Cross,GII
Blue Cross Blue Shield of Michigan,GIJ
BCBS of Western New York,GIK
Anthem BCBS of Ohio,GIL
