BCBS_Name,Acronym
Unassigned Prefix,LIH
Unassigned Prefix,LIJ
Unassigned Prefix,LIK
Wellmark BCBS,LIL
Unassigned Prefix,LIN
Unassigned Prefix,LIO
Unassigned Prefix,LIP
BCBS of South Carolina,LIQ
"Anthem Central Region (OH, IN, KY)",LIR
Carefirst Administrators,LIS
Premera Blue Cross,LIT
BCBS of Rhose Island,LIU
Carefirst BCBS of Maryland,LIV
Regence BCBS of Washington,LIW
BCBS of South Carolina,LIX
Premera Blue Cross,LIY
Carefirst BCBS of Maryland,LIZ
BCBS of Georgia,LJA
Anthem,LJB
BCBS of Illinois,LJC
BCBS of Western New York,LJD
BCBS of Illinois,LJE
Unassigned Prefix,LJF
Excellus BCBS of New York,LJG
Wellmark BCBS,LJH
BCBS of South Carolina,LJJ
BCBS of Massachusetts,LJK
BCBS of Minnesota,LJL
Highmark BCBS,LJM
Horizon BCBS of New Jersey,LJN
Unassigned Prefix,LJP
Anthem,LJQ
"Anthem Central Region (OH, IN, KY)",LJR
Unassigned Prefix,LJS
Anthem Blue Cross of California,LJT
BCBS of Minnesota,LJU
Horizon BCBS of New Jersey,LJW
BCBS of Illinois,LJX
Carefirst Administrators,LJY
Anthem BCBS of Virginia,LJZ
BCBS of Massachusetts,LKA
Unassigned Prefix,LKB
BCBS of Western New York,LKC
Unassigned Prefix,LKD
Unassigned Prefix,LKE
Horizon BCBS of New Jersey,LKF
Premera Blue Cross,LKG
Unassigned Prefix,LKH
Unassigned Prefix,LKI
BCBS of Minnesota,LKJ
Unassigned Prefix,LKK
Carefirst BCBS of Maryland,LKL
Unassigned Prefix,LKN
BCBS of Florida,LKP
BCBS of Illinois,LKQ
BCBS of Massachusetts,LKR
Unassigned Prefix,LKS
Unassigned Prefix,LKT
Wellmark BCBS,LKU
Unassigned Prefix,LKV
Empire BCBS of New York,LKX
Anthem BCBS of Virginia,LKY
Unassigned Prefix,LKZ
Carefirst BCBS of Maryland,LLA
BCBS of Illinois,LLB
BCBS of Louisiana,LLC
Unassigned Prefix,LLD
Unassigned Prefix,LLE
Wellmark BCBS,LLF
BCBS of Illinois,LLG
Independence Blue Cross,LLH
Carefirst BCBS of Maryland,LLI
Premera Blue Cross,LLJ
Wellmark BCBS,LLK
BCBS of Texas,LLL
Highmark BCBS,LLM
"Anthem Central Region (OH, IN, KY)",LLN
Anthem Blue Cross of California,LLO
Unassigned Prefix,LLP
Unassigned Prefix,LLQ
Highmark BCBS,LLR
BCBS of Illinois,LLS
Anthem Blue Cross of California,LLT
Blue Shield of California,LLU
Unassigned Prefix,LLV
BCBS of South Carolina,LLW
"Anthem Central Region (OH, IN, KY)",LLX
"Anthem Central Region (OH, IN, KY)",LLY
Anthem BCBS of Virginia,LLZ
Carefirst BCBS of Maryland,LMA
Anthem,LMB
Empire BCBS of New York,LMD
Anthem Blue Cross of California,LME
BCBS of Nebraska,LMF
Regence Blue Cross Blue Shield of Oregon,LMG
BCBS of Massachusetts,LMH
Regence Blue Cross Blue Shield of Utah,LMI
Unassigned Prefix,LMJ
"Anthem Central Region (OH, IN, KY)",LMK
Highmark BCBS,LML
BCBS of Vermont,LMM
Unassigned Prefix,LMN
Blue Shield of California,LMO
Carefirst Administrators,LMP
Anthem,LMQ
Anthem Blue Cross of California,LMR
Independence Blue Cross,LMS
Regence Blue Cross Blue Shield of Oregon,LMT
Regence Blue Cross Blue Shield of Utah,LMU
"Anthem Central Region (OH, IN, KY)",LMV
Unassigned Prefix,LMW
Unassigned Prefix,LMX
"Anthem Central Region (OH, IN, KY)",LMY
"Anthem Central Region (OH, IN, KY)",LMZ
Wellmark BCBS,LNA
BCBS of Illinois,LNB
"Anthem Central Region (OH, IN, KY)",LNC
Anthem,LND
Wellmark BCBS,LNE
BCBS of Georgia,LNF
BCBS of Michigan,LNG
BCBS of South Carolina,LNH
Unassigned Prefix,LNI
Anthem,LNJ
BCBS of Arkansas Blue Advantage,LNK
Anthem Blue Cross of California,LNL
BCBS of Minnesota,LNM
Anthem BCBS of Virginia,LNN
Unassigned Prefix,LNP
BCBS of Texas,LNQ
"Anthem Central Region (OH, IN, KY)",LNR
BCBS of Alabama,LNS
BCBS of Arizona,LNT
"Anthem Central Region (OH, IN, KY)",LNU
Anthem Blue Cross of California,LNV
Highmark BCBS,LNW
BCBS of Texas,LNX
Unassigned Prefix,LNY
Unassigned Prefix,LNZ
Blue Shield of California,LOC
Blue Shield of California,LOD
Anthem Blue Cross of California,LOE
Highmark BCBS,LOK
BCBS of Minnesota,LOL
Highmark BCBS,LOM
"Anthem Central Region (OH, IN, KY)",LON
Blue Shield of California,LOP
BCBS of Georgia,LOQ
BCBS of Illinois,LOR
Unassigned Prefix,LOS
Anthem Blue Cross of California,LOT
Unassigned Prefix,LOU
Blue Shield of California,LOV
Blue Shield of California,LOX
Carefirst BCBS of Maryland,LOY
Unassigned Prefix,LOZ
Carefirst Administrators,LPA
BCBS of Kansas City,LPB
Blue Shield of California,LPC
Carefirst BCBS of Maryland,LPD
Unassigned Prefix,LPF
Carefirst BCBS of Maryland,LPG
Carefirst BCBS of Maryland,LPH
BCBS of Texas,LPI
Carefirst BCBS of Maryland,LPJ
Unassigned Prefix,LPK
Anthem Blue Cross of California,LPL
Unassigned Prefix,LPM
Unassigned Prefix,LPN
Blue Cross of Northeast Pennsylvania,LPO
Anthem,LPP
BCBS of Michigan,LPQ
Anthem,LPR
Premera Blue Cross,LPS
Regence Blue Cross Blue Shield of Oregon,LPT
Anthem Blue Cross of California,LPU
Unassigned Prefix,LPV
BCBS of Georgia,LPW
BCBS of Tennessee,LPX
Unassigned Prefix,LPY
Anthem Blue Cross of California,LPZ
BCBS of Alabama,LQA
BCBS of Western New York,LQB
Unassigned Prefix,LQC
Unassigned Prefix,LQE
Unassigned Prefix,LQF
Unassigned Prefix,LQG
Wellmark BCBS,LQH
Wellmark BCBS,LQJ
Wellmark BCBS,LQK
Premera Blue Cross,LQL
BCBS of Rhose Island,LQM
Unassigned Prefix,LQN
Unassigned Prefix,LQP
Unassigned Prefix,LQQ
BCBS of Illinois,LQR
BCBS of Massachusetts,LQS
Unassigned Prefix,LQT
Unassigned Prefix,LQU
Blue Shield of California,LQV
BCBS of South Carolina,LQW
Anthem,LQY
Anthem Blue Cross of California,LQZ
BCBS of Tennessee,LRA
Unassigned Prefix,LRB
Independence Blue Cross,LRC
BCBS of Tennessee,LRD
BCBS of Tennessee,LRE
"Anthem Central Region (OH, IN, KY)",LRF
Wellmark BCBS,LRH
Unassigned Prefix,LRI
Carefirst BCBS of Maryland,LRJ
Carefirst BCBS of Maryland,LRK
Highmark BCBS,LRL
Blue Shield of California,LRM
Unassigned Prefix,LRN
BCBS of Michigan,LRP
BCBS of Michigan,LRQ
Premera Blue Cross,LRR
BCBS of Michigan,LRS
Unassigned Prefix,LRT
Anthem Blue Cross of California,LRU
Unassigned Prefix,LRV
Unassigned Prefix,LRX
Unassigned Prefix,LRY
Anthem,LRZ
Anthem Blue Cross of California,LSA
Unassigned Prefix,LSB
BCBS of South Carolina,LSC
BCBS of Illinois,LSD
Anthem Blue Cross of California,LSE
BCBS of South Carolina,LSF
Unassigned Prefix,LSG
Horizon BCBS of New Jersey,LSH
Unassigned Prefix,LSI
BCBS of Illinois,LSJ
