BCBS_Name,Acronym
FGH,8/29/2020
FGI,BCBS of Minnesota
start here,Anthem BCBS of Ohio
Anthem BCBS of Indiana,FGJ
Carefirst BCBS of Maryland,FGK
BCBS of Texas,FGL
Anthem Blue Cross of California,FGM
Anthem BCBS of Georgia,FGN
Anthem Blue Cross of California,FGO
BCBS of Michigan,FGP
BCBS of South Carolina,FGQ
BCBS of Alabama,FGR
BCBS of Michigan,FGS
Highmark BCBS,FGT
BCBS of Michigan,FGU
Anthem BCBS of Ohio,FGV
BCBS of Alabama,FGW
Blue Shield of Northeastern New York,FGX
Wellmark BCBS,FGY
Anthem BCBS of Missouri,FGZ
BCBS of Illinois,FHA
BCBS of  Massachusetts,FHB
BCBS of Michigan,FHC
BCBS of Nebraska,FHD
BCBS of Nebraska,FHE
Carefirst BCBS of Maryland,FHF
Wellmark BCBS,FHG
BCBS of Massachusetts,FHH
BCBS of Michigan,FHI
BCBS of Florida,FHJ
Blue Shield of California,FHK
BCBS of Illinois,FHL
Anthem BCBS of Ohio,FHM
BCBS of Michigan,FHN
Anthem BCBS of Ohio,FHO
Anthem BCBS of Georgia,FHP
Anthem BCBS of Missouri,FHQ
Highmark BCBS,FHR
Blue Cross of Idaho,FHS
Regence BCBS,FHT
Premera Blue Cross,FHU
Wellmark BCBS,FHV
BCBS of Florida,FHW
BCBS of Minnesota,FHX
BCBS of Massachusetts,FHY
Blue Shield of California,FHZ
Anthem BCBS of Wisconsin,FIA
BCBS of Massachusetts,FIB
Anthem BCBS of Georgia,FIC
BCBS of Nebraska,FID
BCBS of Michigan,FIE
Highmark BCBS,FIF
BCBS of Tennessee,FIG
BCBS of Tennessee,FIH
BCBS of Alabama,FII
BCBS of Michigan,FIJ
Wellmark BCBS,FIK
BCBS of Michigan,FIL
Wellmark BCBS,FIM
Anthem BCBS of Ohio,FIN
BCBS of Michigan,FIO
Blue Cross of Idaho,FIP
BCBS of Michigan,FIQ
Premera Blue Cross,FIR
BCBS of North Carolina,FIS
Premera Blue Cross,FIT
BCBS of Michigan,FIU
Anthem BCBS of Colorado,FIV
Unassigned Prefix,FIW
Anthem BCBS of Ohio,FIX
Anthem BCBS of Wisconsin,FIY
BCBS of Florida,FIZ
Anthem BCBS of Georgia,FJA
Anthem BCBS of Georgia,FJB
BCBS of Illinois,FJC
Anthem BCBS of Georgia,FJD
Anthem BCBS of Georgia,FJE
Anthem BCBS of Georgia,FJF
Unassigned Prefix,FJG
Regence Blue Cross Blue Shield of Utah,FJH
Wellmark BCBS,FJI
Anthem Blue Cross of California,FJJ
Unassigned Prefix,FJK
BCBS of Nebraska,FJL
Independence Blue Cross,FJM
BCBS of Illinois,FJN
Independence Blue Cross,FJO
BCBS of Minnesota,FJP
Anthem BCBS of Georgia,FJQ
Highmark BCBS,FJR
BCBS of Massachusetts,FJS
BCBS of Tennessee,FJT
Anthem BCBS of Georgia,FJU
Anthem BCBS of Georgia,FJV
BCBS of Rhose Island,FJW
Anthem BCBS of Georgia,FJX
Wellmark BCBS,FJY
Anthem Blue Cross of California,FJZ
BCBS of Illinois,FKA
Carefirst BCBS of Maryland,FKB
Unassigned Prefix,FKC
Wellmark BCBS,FKD
BCBS of Michigan,FKE
BCBS of Louisiana,FKF
Unassigned Prefix,FKG
Unassigned Prefix,FKH
Carefirst BCBS of Maryland,FKI
Unassigned Prefix,FKJ
Premera Blue Cross,FKK
Carefirst BCBS of Maryland,FKL
Highmark BCBS,FKM
Highmark BCBS,FKN
BCBS of South Carolina,FKO
Anthem Blue Cross of California,FKP
Capital Blue Cross,FKQ
Anthem Blue Cross of California,FKR
Anthem BCBS of Georgia,FKS
BCBS of Minnesota,FKT
BCBS of Louisiana,FKU
Wellmark BCBS,FKV
BCBS of North Carolina,FKW
Carefirst BCBS of Maryland,FKX
BCBS of Louisiana,FKY
Carefirst BCBS of Maryland,FKZ
Anthem BCBS of Georgia,FLA
BCBS of Minnesota,FLB
Unassigned Prefix,FLC
Wellmark BCBS,FLD
BCBS of Minnesota,FLE
BCBS of North Carolina,FLF
BCBS of South Carolina,FLG
BCBS of Arizona,FLH
BCBS of Georgia,FLI
BCBS of Nebraska,FLJ
BCBS of Illinois,FLK
Blue Cross of California,FLL
Wellmark BCBS,FLM
Blue Shield of Northeastern New York,FLN
Anthem BCBS of Georgia,FLO
Horizon BCBS of New Jersey,FLP
BCBS of South Carolina,FLQ
BCBS of Minnesota,FLR
Anthem BCBS of Georgia,FLS
BCBS of South Carolina,FLT
Unassigned Prefix,FLU
BCBS of Texas,FLV
Anthem BCBS of Colorado,FLW
Wellmark BCBS,FLX
Antehm BCBS of Georgia,FLY
Anthem Blue Cross of California,FLZ
BCBS of Michigan,FMA
BCBS of Illinois,FMB
BCBS of Massachusetts,FMC
BCBS of Massachusetts,FMD
Blue Cross of Idaho,FME
BCBS of Illinois,FMF
BCBS of Minnesota,FMG
Carefirst BCBS of Maryland,FMH
Blue Shield of California,FMI
Empire BCBS of New York,FMJ
Carefirst Administrators,FMK
BCBS of Michigan,FML
BCBS of Michigan,FMM
Anthem BCBS of Virginia,FMN
BCBS of Alabama,FMO
Unassigned Prefix,FMP
Unassigned Prefix,FMQ
Premera Blue Cross,FMR
BCBS of Texas,FMS
BCBS of Illinois,FMT
BCBS of Massachusetts,FMU
BCBS of Michigan,FMV
Regence Blue Shield of Idaho,FMW
BCBS of Minnesota,FMX
BCBS of Georgia,FMY
Unassigned Prefix,FMZ
BCBS of Texas,FNA
Anthem BCBS of Georgia,FNB
BCBS of Texas,FNC
BCBS of Michigan,FND
Anthem BCBS of Ohio,FNE
Carefirst BCBS of Maryland,FNF
BCBS of Illinois,FNG
Unassigned Prefix,FNH
Carefirst BCBS of Maryland,FNI
Anthem BCBS of Ohio,FNJ
Unassigned Prefix,FNK
BCBS of Minnesota,FNL
BCBS of Massachusetts,FNM
Regence BCBS,FNN
BCBS of North Carolina,FNO
Unassigned Prefix,FNP
Anthem Blue Cross of California,FNQ
Anthem BCBS of Kentucky,FNR
Anthem Blue Cross of California,FNS
BCBS of Nebraska,FNT
BCBS of Michigan,FNU
Anthem BCBS of Georgia,FNV
BCBS of Georgia,FNW
Anthem Blue Cross of California,FNX
BCBS of Nebraska,FNY
BCBS of Illinois,FNZ
Premera Blue Cross,FOA
BCBS of Florida,FOB
Blue Shield of California,FOC
BCBS of South Carolina,FOD
BCBS of Massachusetts,FOE
Wellmark BCBS,FOF
BCBS of Minnesota,FOG
BCBS of South Carolina,FOH
BCBS of Western New York,FOI
Independence Blue Cross,FOJ
BCBS of South Carolina,FOK
Anthem Blue Cross of California,FOL
Carefirst BCBS of Maryland,FOM
BCBS of South Carolina,FON
Blue Shield of California,FOO
BCBS of Minnesota,FOP
Unassigned Prefix,FOQ
Anthem BCBS of Ohio,FOR
Anthem BCBS of Virginia,FOS
Carefirst BCBS of Maryland,FOT
BCBS of Alabama,FOU
Horizon BCBS of New Jersey,FOV
Anthem BCBS of Colorado,FOW
BCBS of Illinois,FOX
BCBS of Oklahoma,FOY
Unassigned Prefix,FOZ
BCBS of South Carolina,FPA
BCBS of Alabama,FPB
BCBS of Illinois,FPC
Anthem Blue Cross of California,FPD
Wellmark BCBS,FPE
Anthem Blue Cross of California,FPF
Carefirst Administrators,FPG
Carefirst BCBS of Maryland,FPH
Anthem Blue Cross of California,FPI
Highmark BCBS,FPJ
Blue Shield of California,FPK
Wellmark BCBS,FPL
BCBS of Michigan,FPM
BCBS of Texas,FPN
Wellmark BCBS,FPO
BCBS of Western New York,FPP
Highmark BCBS,FPQ
Highmark BCBS,FPR
BCBS of Alabama,FPS
BCBS of North Carolina,FPT
Carefirst BCBS of Maryland,FPU
Blue Shield of California,FPV
Carefirst BCBS of Maryland,FPW
Carefirst Administrators,FPX
BCBS of Illinois,FPY
Anthem Blue Cross of California,FPZ
BCBS of Louisiana,FQA
Unassigned Prefix,FQB
BCBS of South Carolina,FQC
Unassigned Prefix,FQD
BCBS of Nebraska,FQE
BCBS of Minnesota,FQF
Unassigned Prefix,FQG
Anthem BCBS of Georgia,FQH
Anthem BCBS of Georgia,FQI
Anthem BCBS of Colorado,FQJ
BCBS of South Carolina,FQK
BCBS of Arizona,FQL
Independence Blue Cross,FQM
BCBS of Illinois,FQN
Carefirst BCBS of Maryland,FQO
BCBS of Minnesota,FQP
Carefirst BCBS of Maryland,FQQ
BCBS of Massachusetts,FQR
Unassigned Prefix,FQS
Wellmark BCBS,FQT
Independence Blue Cross,FQU
Blue Shield of California,FQV
BCBS of Louisiana,FQW
Wellmark BCBS,FQX
Wellmark BCBS,FQY
BCBS of Minnesota,FQZ
BCBS of South Carolina,FRA
BCBS of Illinois,FRB
Wellmark BCBS,FRC
Anthem BCBS of Virginia,FRD
Premera Blue Cross,FRE
Carefirst BCBS of Maryland,FRF
BCBS of Texas,FRG
Anthem BCBS of Wisconsin,FRH
Blue Shield of California,FRI
Premera BCBS of Alaska,FRJ
Anthem Blue Cross of California,FRK
Blue Shield of California,FRL
Anthem BCBS of Ohio,FRM
BCBS of Texas,FRN
BCBS of Michigan,FRO
Carefirst BCBS of Maryland,FRP
BCBS of Michigan,FRQ
BCBS of South Carolina,FRR
BCBS of Massachusetts,FRS
Anthem Blue Cross of California,FRT
Unassigned Prefix,FRU
BCBS of Alabama,FRV
Anthem BCBS of Missouri,FRW
Anthem Blue Cross of California,FRX
Blue Shield of California,FRY
BCBS of Tennessee,FRZ
BCBS of Massachusetts,FSA
Anthem BCBS of Wisconsin,FSB
Independence Blue Cross,FSC
BCBS of South Carolina,FSD
Anthem BCBS of Ohio,FSE
Empire BCBS of New York,FSF
BCBS of Illinois,FSG
Premera Blue Cross,FSH
Regence BCBS,FSI
BCBS of Arizona,FSJ
Anthem BCBS of Ohio,FSK
BCBS of Illinois,FSL
BCBS of Georgia,FSM
BCBS of South Carolina,FSN
BCBS of Florida,FSO
BCBS of Michigan,FSP
Unassigned Prefix,FSQ
Premera Blue Cross,FSR
BCBS of Alabama,FSS
BCBS of Massachusetts,FST
BCBS of Georgia,FSU
Wellmark BCBS,FSV
BCBS of Illinois,FSW
BCBS of South Carolina,FSX
Unassigned Prefix,FSY
Unassigned Prefix,FSZ
Anthem Blue Cross of California,FTA
Anthem BCBS of Ohio,FTB
BCBS of Oklahoma,FTC
BCBS of Illinois,FTD
Carefirst BCBS of Maryland,FTE
BCBS of Georgia,FTF
Unassigned Prefix,FTG
Wellmark BCBS,FTH
Unassigned Prefix,FTI
Anthem BCBS of Virginia,FTJ
Anthem BCBS of Georgia,FTK
Anthem BCBS of Georgia,FTL
BCBS of Georgia,FTM
Anthem BCBS of Ohio,FTN
Capital Blue Cross,FTO
Empire BCBS of New York,FTP
Anthem BCBS of Ohio,FTQ
BCBS of South Carolina,FTR
Anthem BCBS of Ohio,FTS
Blue Shield of California,FTT
